pupid,educ_attain,treat,schid,grade,winn01,winn02,age01,test00,test01,test02,c1,weight,in_school,math,cognitive,vocab
2256001,8,1,225,6,0,0,16,-1.4538311958312988,-1.0196510553359985,-1.5297858715057373,1,1,0,-0.7974911332130432,-0.5353516340255737,0.17615319788455963
2256002,10,1,225,6,0,0,13,0.29292353987693787,0.8071660399436951,-0.06759677827358246,1,1,1,-0.18322870135307312,0.8722133040428162,1.0706652402877808
2256004,8,1,225,6,0,0,15,NA,-0.07613012194633484,-0.5824520587921143,1,1,0,-0.18322870135307312,-0.18346038460731506,0.35505563020706177
2256006,8,1,225,6,0,0,16,NA,0.9276155233383179,-0.21175625920295715,1,1,0,-0.18322870135307312,0.34437647461891174,-0.5394564867019653
2256007,8,1,225,6,0,0,12,NA,-0.7185273170471191,-1.6739453077316284,1,1,1,-0.7974911332130432,-0.5353516340255737,0.17615319788455963
2256009,8,1,225,6,1,0,16,0.5258241891860962,1.529862880706787,-0.5000752210617065,1,1,0,-0.490359902381897,1.400050163269043,-0.8972613215446472
2256010,10,1,225,6,1,0,14,NA,1.5499378442764282,0.2825048267841339,1,1,1,1.6595585346221924,2.455723762512207,1.2495677471160889
2256014,8,1,225,6,0,0,13,-0.6774957180023193,NA,-0.14997363090515137,1,1,0,0.7381649017333984,0.5203220844268799,0.5339580178260803
2256015,8,1,225,6,0,0,15,NA,-0.25680434703826904,-1.0973073244094849,1,1,0,-1.1046223640441895,-1.2391340732574463,0.35505563020706177
2256024,7,1,225,6,0,0,12,NA,-1.0798757076263428,-1.406220555305481,1,1,1,1.352427363395691,-0.5353516340255737,0.5339580178260803
2256028,8,1,225,6,0,0,14,0.40937384963035583,-0.09620503336191177,NA,1,5,0,-1.411753535270691,-0.3594059944152832,0.17615319788455963
2256033,8,1,225,6,0,0,15,-0.8133544325828552,-0.7988269925117493,-0.8913652300834656,1,1,0,-2.0260159969329834,-1.4150797128677368,-0.5394564867019653
2256035,10,1,225,6,1,0,15,NA,1.0279901027679443,-0.3353215456008911,1,1,1,-0.7974911332130432,0.6962677240371704,0.35505563020706177
2256036,8,1,225,6,0,0,16,NA,0.8071660399436951,-0.767799973487854,1,1,0,0.4310337007045746,-1.2391340732574463,-1.255066156387329
2256037,9,1,225,6,0,0,14,NA,0.6867165565490723,-0.12937942147254944,1,1,1,0.7381649017333984,-1.0631884336471558,0.35505563020706177
2256041,7,1,225,6,0,0,13,-0.9298047423362732,-1.5415986776351929,-0.7883942127227783,1,1,1,0.7381649017333984,-0.007514761295169592,-0.360554039478302
2256053,8,1,225,6,0,0,16,NA,NA,-1.3444379568099976,1,1,0,-0.490359902381897,-0.5353516340255737,-1.7917733192443848
2256072,8,1,225,6,0,0,15,NA,-0.6783775091171265,-0.8501768112182617,1,1,0,-1.411753535270691,0.6962677240371704,-0.7183588743209839
2256073,9,1,225,6,0,0,14,NA,NA,NA,1,1,1,-0.18322870135307312,-0.5353516340255737,0.35505563020706177
2256077,8,1,225,6,0,0,13,NA,-0.8791266083717346,-0.8089883923530579,1,1,0,1.6595585346221924,0.8722133040428162,0.8917628526687622
2256080,8,1,225,6,0,0,15,NA,-1.1200255155563354,-1.4680031538009644,1,1,0,0.4310337007045746,2.103832721710205,0.17615319788455963
2265001,5,1,226,5,0,0,NA,-0.2762451171875,NA,NA,0,5,0,-0.7974911332130432,-1.7669708728790283,-1.7917733192443848
2265003,8,1,226,5,0,0,15,NA,NA,-0.8782508969306946,0,1,0,-0.18322870135307312,-0.18346038460731506,-0.8972613215446472
2265006,8,1,226,5,0,0,14,0.3294083774089813,NA,-0.33918964862823486,0,1,1,-0.7974911332130432,-0.007514761295169592,-0.360554039478302
2265010,9,1,226,5,0,0,16,NA,NA,-0.4843215048313141,0,5,1,0.12390250712633133,0.5203220844268799,1.2495677471160889
2265011,7,1,226,5,0,0,16,-0.7248773574829102,NA,-1.3551127910614014,0,1,1,-0.490359902381897,-1.2391340732574463,-0.7183588743209839
2265013,8,1,226,5,0,0,11,-0.6800141334533691,NA,NA,0,1,1,1.352427363395691,-0.18346038460731506,-0.18165162205696106
2265017,7,1,226,5,0,0,14,-0.2538135051727295,NA,-1.2929133176803589,0,1,1,-0.7974911332130432,-0.7112972140312195,-1.0761637687683105
2265024,7,1,226,5,0,0,NA,NA,NA,NA,0,1,1,-0.490359902381897,-1.0631884336471558,-0.18165162205696106
2265025,7,1,226,5,0,0,16,-0.9043301939964294,NA,-1.3136465549468994,0,1,1,0.7381649017333984,1.048158884048462,-0.18165162205696106
2265037,8,1,226,5,0,0,14,-0.05192900076508522,NA,-1.2929133176803589,0,1,1,0.7381649017333984,-1.4150797128677368,-0.360554039478302
2265047,8,1,226,5,0,0,12,0.03779744356870651,NA,-0.5050546526908875,0,1,1,0.7381649017333984,0.1684308499097824,0.35505563020706177
2265064,6,1,226,5,0,0,14,NA,NA,NA,0,5,0,-2.0260159969329834,-1.2391340732574463,-1.9706758260726929
2265069,7,1,226,5,0,0,13,-1.2408044338226318,NA,NA,0,5,1,0.12390250712633133,-1.4150797128677368,-2.507383108139038
